"stimulusFile","stimulus","accuracy","rt","participant","gender","age","condition","stimulus_category"
"stimuliBlock1.xlsx","In orde",1,1341,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Juist",1,1361,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Exact",1,1357,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Goed",1,1325,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Mis",1,1289,116,"m",22,4,"false"
"stimuliBlock1.xlsx","Exact",1,1371,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Juist",1,1334,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Goed",1,1355,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Mis",1,1276,116,"m",22,4,"false"
"stimuliBlock1.xlsx","In orde",1,1314,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Onjuist",1,1259,116,"m",22,4,"false"
"stimuliBlock1.xlsx","Incorrect",1,1382,116,"m",22,4,"false"
"stimuliBlock1.xlsx","Fout",1,1299,116,"m",22,4,"false"
"stimuliBlock1.xlsx","Correct",1,1183,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1263,116,"m",22,4,"false"
"stimuliBlock1.xlsx","Goed",1,1401,117,"f",23,1,"true"
"stimuliBlock1.xlsx","Fout",1,1341,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Exact",1,1202,117,"f",23,1,"true"
"stimuliBlock1.xlsx","Mis",1,1264,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Juist",1,1213,117,"f",23,1,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1230,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Correct",1,1177,117,"f",23,1,"true"
"stimuliBlock1.xlsx","Onjuist",1,1239,117,"f",23,1,"false"
"stimuliBlock1.xlsx","In orde",1,1174,117,"f",23,1,"true"
"stimuliBlock1.xlsx","Incorrect",1,1338,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Exact",1,1170,117,"f",23,1,"true"
"stimuliBlock1.xlsx","In orde",1,1657,117,"f",23,1,"true"
"stimuliBlock1.xlsx","Onjuist",1,1330,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Juist",1,1163,117,"f",23,1,"true"
"stimuliBlock1.xlsx","Fout",1,1268,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Mis",1,1293,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Goed",1,1186,117,"f",23,1,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1228,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Incorrect",1,1359,117,"f",23,1,"false"
"stimuliBlock1.xlsx","Correct",1,1154,117,"f",23,1,"true"
"stimuliBlock1.xlsx","In orde",1,2077,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Correct",1,1427,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Onjuist",1,1366,118,"m",18,2,"false"
"stimuliBlock1.xlsx","Fout",1,1619,118,"m",18,2,"false"
"stimuliBlock1.xlsx","Goed",1,1436,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Exact",1,1288,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1840,118,"m",18,2,"false"
"stimuliBlock1.xlsx","Juist",1,1327,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Incorrect",1,1370,118,"m",18,2,"false"
"stimuliBlock1.xlsx","Mis",1,1387,118,"m",18,2,"false"
